#bfield(Gauss)	a12	a13	a23(a0)
1449	-2464.3	-2218.8	-2360.0
1450	-2463.5	-2218.6	-2359.4
1451	-2462.6	-2218.3	-2358.7
1452	-2461.7	-2218.1	-2358.1
1453	-2460.8	-2217.8	-2357.5
1454	-2460.0	-2217.6	-2356.9
1455	-2459.1	-2217.4	-2356.3
1456	-2458.3	-2217.1	-2355.7
1457	-2457.4	-2216.9	-2355.1
1458	-2456.5	-2216.7	-2354.5
1459	-2455.7	-2216.4	-2353.9
1460	-2454.9	-2216.2	-2353.3
1461	-2454.0	-2216.0	-2352.7
1462	-2453.2	-2215.7	-2352.1
1463	-2452.3	-2215.5	-2351.5
1464	-2451.5	-2215.3	-2351.0
1465	-2450.7	-2215.1	-2350.4
1466	-2449.8	-2214.8	-2349.8
1467	-2449.0	-2214.6	-2349.2
1468	-2448.2	-2214.4	-2348.6
1469	-2447.4	-2214.2	-2348.1
1470	-2446.6	-2213.9	-2347.5
1471	-2445.7	-2213.7	-2346.9
1472	-2444.9	-2213.5	-2346.3
1473	-2444.1	-2213.3	-2345.8
1474	-2443.3	-2213.0	-2345.2
1475	-2442.5	-2212.8	-2344.7
1476	-2441.7	-2212.6	-2344.1
1477	-2440.9	-2212.4	-2343.5
1478	-2440.1	-2212.2	-2343.0
1479	-2439.3	-2211.9	-2342.4
1480	-2438.5	-2211.7	-2341.9
1481	-2437.8	-2211.5	-2341.3
1482	-2437.0	-2211.3	-2340.8
1483	-2436.2	-2211.1	-2340.2
1484	-2435.4	-2210.9	-2339.7
1485	-2434.7	-2210.6	-2339.1
1486	-2433.9	-2210.4	-2338.6
1487	-2433.1	-2210.2	-2338.1
1488	-2432.3	-2210.0	-2337.5
1489	-2431.6	-2209.8	-2337.0
1490	-2430.8	-2209.6	-2336.4
1491	-2430.1	-2209.4	-2335.9
1492	-2429.3	-2209.2	-2335.4
1493	-2428.6	-2209.0	-2334.9
1494	-2427.8	-2208.8	-2334.3
1495	-2427.1	-2208.5	-2333.8
1496	-2426.3	-2208.3	-2333.3
1497	-2425.6	-2208.1	-2332.8
1498	-2424.8	-2207.9	-2332.2
1499	-2424.1	-2207.7	-2331.7
1500	-2423.4	-2207.5	-2331.2
1501	-2422.6	-2207.3	-2330.7
1502	-2421.9	-2207.1	-2330.2
1503	-2421.2	-2206.9	-2329.7
1504	-2420.5	-2206.7	-2329.2
1505	-2419.7	-2206.5	-2328.7
1506	-2419.0	-2206.3	-2328.1
1507	-2418.3	-2206.1	-2327.6
1508	-2417.6	-2205.9	-2327.1
1509	-2416.9	-2205.7	-2326.6
1510	-2416.2	-2205.5	-2326.1
1511	-2415.5	-2205.3	-2325.6
1512	-2414.8	-2205.1	-2325.2
1513	-2414.1	-2204.9	-2324.7
1514	-2413.4	-2204.7	-2324.2
1515	-2412.7	-2204.5	-2323.7
1516	-2412.0	-2204.3	-2323.2
1517	-2411.3	-2204.1	-2322.7
1518	-2410.6	-2203.9	-2322.2
1519	-2409.9	-2203.8	-2321.7
1520	-2409.2	-2203.6	-2321.3
1521	-2408.5	-2203.4	-2320.8
1522	-2407.9	-2203.2	-2320.3
1523	-2407.2	-2203.0	-2319.8
1524	-2406.5	-2202.8	-2319.3
1525	-2405.8	-2202.6	-2318.9
1526	-2405.2	-2202.4	-2318.4
1527	-2404.5	-2202.2	-2317.9
1528	-2403.8	-2202.0	-2317.5
1529	-2403.2	-2201.9	-2317.0
1530	-2402.5	-2201.7	-2316.5
1531	-2401.8	-2201.5	-2316.1
1532	-2401.2	-2201.3	-2315.6
1533	-2400.5	-2201.1	-2315.1
1534	-2399.9	-2200.9	-2314.7
