#ErIR	ErGR	alpha	band0Bot	band0Top	band1Bot	band1Top
0.5	1.5	0.	3.761403664377486	6.761403664377486	4.761403664377486	7.761403664377486
0.5	1.5	0.1	3.759060314776663	6.64223520491902	4.799173622951475	7.759711223859959
0.5	1.5	0.2	3.756717765399138	6.592534860235943	4.813788070395209	7.75801931859059
0.5	1.5	0.30000000000000004	3.754376015382494	6.554264892225882	4.8245929188382215	7.7563279479943965
0.5	1.5	0.4	3.7520350638666775	6.521912172080321	4.83342587731396	7.754637111497891
0.5	1.5	0.5	3.749694909992799	6.493341178791634	4.840998785589318	7.752946808528427
0.5	1.5	0.6000000000000001	3.7473555529036635	6.467456659202327	4.847676727482592	7.7512570385143995
0.5	1.5	0.7000000000000001	3.745016991743249	6.44360796636014	4.853676584744315	7.749567800885122
0.5	1.5	0.8	3.7426792256577937	6.421371157225369	4.859139671155614	7.747879095071281
0.5	1.5	0.9	3.740342253794224	6.400451752659809	4.86416414586434	7.746190920504155
0.5	1.5	1.	3.738006075301702	6.380635338897896	4.86882147956226	7.744503276616294
0.5	2.	0.	5.265204885836648	8.26520488583665	6.265204885836648	9.26520488583665
0.5	2.	0.1	5.262861536235825	8.146036426378181	6.302974844410637	9.263512445319122
0.5	2.	0.2	5.2605189868583	8.096336081695105	6.317589291854372	9.261820540049753
0.5	2.	0.30000000000000004	5.258177236841656	8.058066113685044	6.328394140297384	9.26012916945356
0.5	2.	0.4	5.25583628532584	8.025713393539483	6.3372270987731225	9.258438332957052
0.5	2.	0.5	5.2534961314519615	7.997142400250796	6.34480000704848	9.25674802998759
0.5	2.	0.6000000000000001	5.251156774362825	7.971257880661488	6.3514779489417545	9.255058259973561
0.5	2.	0.7000000000000001	5.248818213202411	7.947409187819302	6.357477806203478	9.253369022344284
0.5	2.	0.8	5.246480447116956	7.925172378684532	6.362940892614776	9.251680316530443
0.5	2.	0.9	5.244143475253386	7.904252974118971	6.367965367323503	9.249992141963318
0.5	2.	1.	5.241807296760864	7.884436560357058	6.372622701021422	9.248304498075456
0.5	2.5	0.	6.7690061072958105	9.76900610729581	7.7690061072958105	10.76900610729581
0.5	2.5	0.1	6.766662757694988	9.649837647837344	7.8067760658698	10.767313666778286
0.5	2.5	0.2	6.7643202083174625	9.600137303154266	7.821390513313534	10.765621761508914
0.5	2.5	0.30000000000000004	6.761978458300819	9.561867335144207	7.832195361756546	10.763930390912721
0.5	2.5	0.4	6.759637506785002	9.529514614998646	7.841028320232285	10.762239554416215
0.5	2.5	0.5	6.757297352911124	9.500943621709958	7.8486012285076425	10.76054925144675
0.5	2.5	0.6000000000000001	6.7549579958219885	9.475059102120651	7.855279170400918	10.758859481432724
0.5	2.5	0.7000000000000001	6.7526194346615735	9.451210409278465	7.86127902766264	10.757170243803447
0.5	2.5	0.8	6.750281668576118	9.428973600143694	7.866742114073938	10.755481537989606
0.5	2.5	0.9	6.7479446967125485	9.408054195578133	7.871766588782664	10.75379336342248
0.5	2.5	1.	6.745608518220027	9.38823778181622	7.876423922480584	10.752105719534619
0.5	3.	0.	8.272807328754972	11.272807328754972	9.272807328754972	12.272807328754972
0.5	3.	0.1	8.27046397915415	11.153638869296506	9.310577287328961	12.271114888237445
