#bfield(Gauss)	ainns(a0)
180.	-561.5565871559633
181.	-561.1316110260336
182.	-560.7036073619631
183.	-560.2725622119816
184.	-559.8384615384615
185.	-559.4012912172573
186.	-558.961037037037
187.	-558.5176846986091
188.	-558.0712198142414
189.	-557.6216279069769
190.	-557.1688944099378
191.	-556.7130046656298
192.	-556.2539439252336
193.	-555.7916973478939
194.	-555.32625
195.	-554.85758685446
196.	-554.3856927899686
197.	-553.9105525902669
198.	-553.4321509433962
199.	-552.9504724409448
200.	-552.4655015772871
201.	-551.977222748815
202.	-551.4856202531645
203.	-550.9906782884311
204.	-550.4923809523809
205.	-549.9907122416533
206.	-549.4856560509554
207.	-548.9771961722487
208.	-548.4653162939297
209.	-547.95
210.	-547.4312307692308
211.	-546.9089919743179
212.	-546.3832668810288
213.	-545.8540386473431
214.	-545.3212903225806
215.	-544.7850048465266
216.	-544.2451650485436
217.	-543.7017536466775
218.	-543.1547532467532
219.	-542.6041463414634
220.	-542.0499153094462
221.	-541.4920424143556
222.	-540.9305098039215
223.	-540.3652995090017
224.	-539.796393442623
225.	-539.2237733990147
226.	-538.6474210526316
227.	-538.0673179571664
228.	-537.4834455445545
229.	-536.8957851239669
230.	-536.3043178807947
231.	-535.7090248756219
232.	-535.1098870431894
233.	-534.5068851913478
234.	-533.9
235.	-533.2892120200333
236.	-532.6745016722407
237.	-532.0558492462312
238.	-531.433234899329
239.	-530.8066386554623
240.	-530.1760404040404
241.	-529.5414198988195
242.	-528.9027567567567
243.	-528.2600304568529
244.	-527.6132203389831
245.	-526.9623056027165
246.	-526.3072653061224
247.	-525.6480783645657
248.	-524.9847235494881
249.	-524.3171794871796
250.	-523.6454246575342
251.	-522.9694373927958
252.	-522.2891958762887
253.	-521.6046781411359
254.	-520.9158620689655
255.	-520.2227253886011
256.	-519.5252456747404
257.	-518.8234003466206
258.	-518.1171666666667
259.	-517.4065217391305
260.	-516.6914425087107
261.	-515.9719057591623
262.	-515.2478881118881
263.	-514.5193660245184
264.	-513.7863157894737
265.	-513.0487135325133
266.	-512.3065352112676
267.	-511.55975661375663
268.	-510.80835335689045
269.	-510.05230088495586
270.	-509.2915744680851
271.	-508.5261492007104
272.	-507.7560000000001
273.	-506.9811016042781
274.	-506.20142857142855
275.	-505.41695527728086
276.	-504.62765591397846
277.	-503.83350448833033
278.	-503.0344748201439
279.	-502.2305405405405
280.	-501.4216750902527
281.	-500.60785171790235
282.	-499.78904347826085
283.	-498.96522323049004
284.	-498.13636363636374
285.	-497.30243715846984
286.	-496.4634160583941
287.	-495.6192723948812
288.	-494.7699780219779
289.	-493.9155045871559
290.	-493.0558235294117
291.	-492.190906077348
292.	-491.32072324723254
293.	-490.4452458410351
294.	-489.56444444444446
295.	-488.67828942486085
296.	-487.786750929368
297.	-486.88979888268165
298.	-485.98740298507465
299.	-485.0795327102803
300.	-484.16615730337077
301.	-483.2472457786116
302.	-482.3227669172934
303.	-481.39268926553666
304.	-480.4569811320755
305.	-479.51561058601135
306.	-478.56854545454536
307.	-477.61575332068315
308.	-476.65720152091257
309.	-475.69285714285724
310.	-474.7226870229008
311.	-473.7466577437858
312.	-472.76473563218394
313.	-471.776886756238
314.	-470.78307692307686
315.	-469.7832716763005
316.	-468.7774362934362
317.	-467.7655357833656
318.	-466.7475348837209
319.	-465.7233980582525
320.	-464.6930894941634
321.	-463.65657309941525
322.	-462.6138125
323.	-461.564771037182
324.	-460.5094117647059
325.	-459.44769744597255
326.	-458.37959055118114
327.	-457.30505325443784
328.	-456.22404743083007
329.	-455.1365346534654
330.	-454.0424761904762
331.	-452.94183300198813
332.	-451.8345657370518
333.	-450.72063473053896
334.	-449.6
335.	-448.472621242485
336.	-447.33845783132534
337.	-446.1974688128772
338.	-445.04961290322575
339.	-443.8948484848485
340.	-442.7331336032389
341.	-441.5644259634889
342.	-440.3886829268292
343.	-439.2058615071284
344.	-438.0159183673469
345.	-436.81880981595094
346.	-435.61449180327867
347.	-434.4029199178645
348.	-433.18404938271595
349.	-431.9578350515464
350.	-430.72423140495863
351.	-429.4831925465837
352.	-428.23467219917006
353.	-426.97862370062364
354.	-425.71500000000003
355.	-424.44375365344473
356.	-423.16483682008374
357.	-421.8782012578616
358.	-420.58379831932774
359.	-419.2815789473685
360.	-417.97149367088616
361.	-416.65349260042274
362.	-415.32752542372884
363.	-413.9935414012739
364.	-412.6514893617021
365.	-411.3013176972281
366.	-409.9429743589743
367.	-408.5764068522482
368.	-407.2015622317596
369.	-405.81838709677425
370.	-404.42682758620685
371.	-403.02682937365006
372.	-401.61833766233764
373.	-400.20129718004335
374.	-398.77565217391304
375.	-397.34134640522876
376.	-395.89832314410484
377.	-394.4465251641138
378.	-392.98589473684217
379.	-391.5163736263737
