#fcpow	depth(uK)	freqAx(Hz)	freqRd(Hz)	freqRdZ(Hz)
3.16	154.38453873156988	491.2081173072939	3729.0346405701093	3761.2117085023488
3.18	155.36165606531398	492.7601215451722	3740.816769898683	3773.095503385773
3.2	156.33877339905808	494.3072528922162	3752.561906396559	3784.941986235022
3.22	157.3158907328022	495.8495569610664	3764.2703963347185	3796.7515063089786
3.24	158.2930080665463	497.3870786571786	3775.9425806155086	3808.5244074515626
3.2600000000000002	159.27012540029042	498.91986219407926	3787.5787948884545	3820.261028208551
3.2800000000000002	160.24724273403456	500.44795110820024	3799.1793696628806	3831.9617019411658
3.3000000000000003	161.22436006777866	501.971388273308	3810.7446304174478	3843.6267569365546
3.3200000000000003	162.20147740152277	503.49021591453857	3822.2748977067013	3855.2565165152623
3.34	163.17859473526687	505.0044756220534	3833.7704872647428	3866.8512991357934
3.36	164.155712069011	506.51420836432794	3845.231710106103	3878.411418496361
3.38	165.13282940275508	508.0194545010834	3856.658872623928	3889.9371836339124
3.4	166.1099467364992	509.520253795877	3868.052276685546	3901.428899020526
3.42	167.08706407024331	511.01664542835726	3879.412219725509	3912.8868646572564
3.44	168.06418140398745	512.5086680061987	3890.738994836196	3924.3113761655145
3.46	169.04129873773152	513.9963595767235	3902.0328908560386	3935.7027248760605
3.48	170.01841607147566	515.479757638223	3913.2941924554693	3947.0611979156884
3.5	170.99553340521976	516.9588991509844	3924.5231802206326	3958.387078291663
3.52	171.97265073896386	518.4338205480369	3935.7201307349624	3969.6806449739997
3.54	172.94976807270797	519.904557745622	3946.885316658668	3980.942172975635
3.56	173.92688540645213	521.3711461533975	3958.019006806204	3992.1719334305667
3.58	174.90400274019623	522.8336206843856	3969.1214662217803	4003.3701936700195
3.6	175.88112007394034	524.2920157646695	3980.192956252988	4014.537217296697
3.62	176.85823740768444	525.7463653428496	3991.2337346225745	4025.6732642571833
3.64	177.83535474142857	527.1967028992628	4002.2440554984446	4036.7785909125446
3.66	178.81247207517265	528.6430614549765	4013.2241695619236	4047.8534501071854
3.68	179.78958940891678	530.0854735805601	4024.1743240743635	4058.898091236022
3.7	180.7667067426609	531.5239714046425	4035.0947629420957	4069.912760310005
3.72	181.74382407640502	532.9585866222626	4045.985726779828	4080.897700020056
3.74	182.72094141014912	534.389350503017	4056.8474529725004	4091.85314979946
3.7600000000000002	183.69805874389326	535.8162938990125	4067.680175735653	4102.779345884756
3.7800000000000002	184.6751760776374	537.2394472526282	4078.484126174355	4113.6765213751705
3.8000000000000003	185.65229341138146	538.6588406040934	4089.259532340734	4124.544906290645
